baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	tx_name
2.82173017875	1.0026687911002394	1.6139207927725807	0.6212627011129452	0.5344267905770286	0.6156626714810668	l(2)gl-RB
0.6755173562500001	-2.0301032500837803	3.0922369596699326	-0.6565160679990304	0.5114921325506292	NA	Ir21a-RB
0.144866247	-1.5299395108359957	4.990295957662082	-0.3065829208960908	0.7591608551470246	NA	Cda5-RA
12.919508279750001	1.6289243573240084	0.7434055834252927	2.1911650835585963	0.028439848331702308	0.05043990435427592	dbr-RF
216.131848853	-0.37610242211196043	0.26993588477722363	-1.3933027927070734	0.16352824650236644	0.22817570706134832	dbr-RC
19.2311393045	-0.9772204547971792	0.5921816614841877	-1.6502038451308454	0.09890125066444788	0.14993642094619483	asRNA:CR44987-RA
17.1545217355	1.107494754284988	0.6134315901749441	1.805408739985403	0.07101074450546357	0.11277123472588656	galectin-RA
395.90330889675	0.8823389537613088	0.1994202068403926	4.424521304741676	9.665636539575417e-6	4.2351838906008986e-5	net-RC
74.48138677375	1.4511565777917943	0.33860339860642824	4.285711790738786	1.8215501600306132e-5	7.499692183023424e-5	Zir-RA
62.85552273575	0.931728722374895	0.35562479269016356	2.6199768450526992	0.008793573747353975	0.01804346982253504	CG11377-RA
75.36917490325	0.012977915689350486	0.3244258809091675	0.04000271388022841	0.9680909626629196	0.9758404592852212	Nhe1-RB
87.45500773625	1.4256066839843153	0.3272283437946215	4.356611250274425	1.3209156910853805e-5	5.604818523345691e-5	Sam-S-RH
610.32279130375	-2.322610263216327	0.19361873406545826	-11.99579304361686	3.7381947422062884e-33	2.5497603304132057e-31	Sam-S-RF
469.6019723645	-0.08966767243532815	0.19072436806846288	-0.4701427161270805	0.6382530573552445	0.7111490980741461	CG4822-RA
4488.323587664	-1.3362526954645026	0.15599309979298845	-8.566101303440886	1.0704771780311378e-17	2.6391131633086933e-16	CG3164-RB
1190.02401611	-1.0126464028362094	0.16989651465838534	-5.960371846781906	2.516646023336554e-9	2.2365632682963835e-8	Gs1-RD
1.1016067005	-0.8029678946301048	2.2400033816543683	-0.3584672689364727	0.7199936582022572	0.7810666789112625	ovm-RB
1.1016067005	-0.8029678946301048	2.2400033816543683	-0.3584672689364727	0.7199936582022572	0.7810666789112625	CG31975-RB
78.89615349525	0.78207723977354	0.31447957508652336	2.48689359096967	0.012886393653551594	0.025197117069832728	CG11454-RA
35.90606812975	0.9159772594843257	0.45732055354453993	2.002921697668932	0.04518569375648095	0.07581896338597717	ND-15-RA
63.0802684665	2.078508061498001	0.3575552347448372	5.81311042189409	6.1322581448521055e-9	5.075079162347268e-8	CG33635-RA
